zipcode,Lat,Lon
78758,30.3870686,-97.70365609999999
78757,30.3568213,-97.730807
,,
78759,30.401356,-97.7525352
78751,30.3055711,-97.725376
78739,30.1859258,-97.90482
78749,30.2175453,-97.8558357
78744,30.196311,-97.730807
78702,30.2603535,-97.7145152
78735,30.2573497,-97.86127669999999
78728,30.4570672,-97.68194299999999
78617,30.1471783,-97.5897372
78723,30.3081307,-97.68194299999999
78727,30.432242,-97.7145152
78753,30.3889868,-97.6710889
74051,30.267153,-97.7430608
78752,30.3317278,-97.70515800000001
V6X,30.267153,-97.7430608
78722,30.2920434,-97.7118003
78704,30.24567279999999,-97.76883579999999
78750,30.4270699,-97.8014482
78733,30.33151879999999,-97.86671820000001
78621,30.3431045,-97.3732655
78747,30.1274614,-97.730807
78748,30.168207,-97.8177601
78745,30.2153869,-97.7960118
78705,30.2961708,-97.73895429999999
78730,30.3732514,-97.8395151
78731,30.3542409,-97.7742702
78741,30.2259488,-97.7145152
78660,30.4332061,-97.60057859999999
78652,30.1359406,-97.87760229999999
78746,30.2962208,-97.8299383
78641,30.5390145,-97.9374948
78721,30.2737366,-97.68194299999999
78756,30.3248256,-97.73895429999999
43065,40.1742648,-83.0898194
78701,30.2729209,-97.74438630000002
78724,30.2944269,-97.6222665
78703,30.2915328,-97.76883579999999
78729,30.4646593,-97.7471025
78738,30.2966026,-97.9701846
74058,36.3553672,-96.7279918
78653,30.3332225,-97.54638849999999
78736,30.25208559999999,-97.9483898
78754,30.3558863,-97.64938579999999
78712,30.2835151,-97.73488049999999
78734,30.3666665,-97.9483898
78645,30.4569275,-97.9701846
78717,30.4916577,-97.7742702
72762,36.1675026,-94.21283369999999
78737,30.18196499999999,-97.9701846
08003,30.267153,-97.7430608
10036,30.267153,-97.7430608
65616,36.6734189,-93.23825099999999
78725,30.2316673,-97.6168439
78719,30.1590253,-97.68194299999999
78610,30.0817354,-97.8429545
78742,30.2406057,-97.6602365
74146,36.0882182,-95.8459341
34747,28.3430219,-81.5815776
74112,36.1449378,-95.90399440000002
56370,30.267153,-97.7430608
75062,32.859323,-96.93281999999999
60126,30.267153,-97.7430608
50010,30.3,-97.77
74135,36.1005816,-95.92512110000001
78732,30.3788578,-97.8923749
75012,30.267153,-97.7430608
74016,30.267153,-97.7430608
66067,38.5766138,-95.26844369999999
74075,36.1628206,-97.0713572
78615,30.4456434,-97.38407289999999
72632,36.3557077,-93.76382559999999
78726,30.4190616,-97.8395151
97520,42.1990323,-122.4562968
60153,41.8745965,-87.8402405
95060,30.4098556,-97.73678
72761,36.1585967,-94.4593791
94553,30.267153,-97.7430608
67337,37.0570857,-95.62476699999999
23111,37.6032972,-77.2635038
14847,30.267153,-97.7430608
41001,30.267153,-97.7430608
78613,30.5119418,-97.8177601
74008,35.92399169999999,-95.8775964
78666,29.8942825,-97.9810845
67335,37.297004,-95.51973939999999
27713,35.890231,-78.9175088
32218,30.4839057,-81.6790864
74015,30.267153,-97.7430608
77904,28.8760902,-96.99677969999999
60554,41.77026070000001,-88.4597673
74103,36.1592882,-95.99647829999999
78634,30.5622896,-97.54638849999999
74105,36.1036376,-95.97268319999999
78664,30.5041381,-97.6602365
77437,30.2655735,-97.7379529
73129,35.4318343,-97.49224070000001
10175,30.267153,-97.7430608
54913,44.3316981,-88.4210006
78628,30.6410107,-97.76340189999999
74114,36.1237711,-95.9488975
78669,30.4367302,-98.1120116
44256,41.1524413,-81.8631302
78612,30.0602942,-97.5030669
78640,29.9966514,-97.8068851
28786,35.4731561,-83.01465259999999
68701,42.0375938,-97.394882
78654,30.5684965,-98.19942759999999
74137,36.0190424,-95.93040390000002
67213,37.6689444,-97.36786239999999
76210,33.1362221,-97.0821162
72712,36.3840171,-94.21283369999999
67301,37.09024,-95.712891
89147,36.1148054,-115.2778317
75235,32.8227304,-96.8605157
37207,36.2305398,-86.7718017
78665,30.5464236,-97.6222665
76132,32.6778194,-97.39781359999999
33331,30.267153,-97.7430608
74072,36.9714494,-95.62476699999999
73625,30.267153,-97.7430608
74133,36.0428053,-95.8881542
32792,28.6092911,-81.30142839999999
78501,26.2041876,-98.2406137
07601,30.267153,-97.7430608
89045,38.9203763,-116.8910342
77840,30.61752499999999,-96.347156
30354,33.6580771,-84.38574419999999
92220,33.9273122,-116.8674757
56082,44.3661998,-94.028678
76021,32.8539296,-97.10795
78710,30.339254,-97.664306
78209,29.489549,-98.439841
75007,32.9917469,-96.92362999999999
30607,34.0137081,-83.4750241
78772,30.2175328,-97.7477816
19085,40.0468052,-75.3353875
78681,30.5184228,-97.70908539999999
78041,27.5395973,-99.47232299999999
74055,36.2726958,-95.8353837
78620,30.2076538,-98.1120116
77401,29.699905,-95.483973
76207,33.2195187,-97.1898025
79364,33.4327226,-101.6395996
48084,30.267153,-97.7430608
78659,30.227261,-97.1708676
78711,30.2781094,-97.738445
84790,37.0441957,-113.5490415
64759,37.5189552,-94.27436279999999
10803,30.267153,-97.7430608
