zipcode,population
78758,"44,072"
78757,"21,310"
78759,"38,891"
78751,"14,385"
78739,"16,792"
78749,"34,449"
78744,"42,820"
78702,"21,334"
78735,"16,131"
78728,"20,299"
78617,"22,210"
78723,"28,330"
78727,"26,689"
78753,"49,301"
74051,"1,904"
78752,"18,064"
78722,"5,901"
78704,"42,117"
78750,"26,814"
78733,"8,762"
78621,"21,659"
78747,"14,808"
78748,"40,651"
78745,"55,614"
78705,"31,340"
78730,"7,955"
78731,"24,614"
78741,"44,935"
78660,"68,789"
78652,"4,466"
78746,"26,928"
78641,"44,295"
78721,"11,425"
78756,"7,194"
43065,"38,821"
78701,"6,841"
78724,"21,696"
78703,"19,690"
78729,"27,108"
78738,"12,134"
74058,"4,259"
78653,"16,375"
78736,"6,946"
78754,"15,036"
78712,860
78734,"17,655"
78645,"9,773"
78717,"22,538"
72762,"35,342"
78737,"12,081"
8003,"30,629"
10036,"24,711"
65616,"24,284"
78725,"6,083"
78719,"1,764"
78610,"23,502"
78742,820
74146,"15,498"
34747,"13,692"
74112,"20,684"
75062,"44,537"
60126,"46,371"
50010,"29,359"
74135,"20,651"
78732,"14,060"
74016,"6,005"
66067,"16,170"
74075,"23,866"
78615,"1,290"
72632,"4,449"
78726,"13,122"
97520,"24,469"
60153,"24,106"
95060,"46,377"
72761,"21,211"
94553,"47,065"
67337,"13,493"
23111,"36,490"
14847,"2,398"
41001,"16,412"
78613,"65,099"
74008,"22,461"
78666,"63,836"
67335,"3,671"
27713,"46,660"
32218,"53,473"
74015,"8,064"
77904,"25,002"
60554,"11,796"
74103,"2,692"
78634,"22,791"
74105,"26,547"
78664,"52,932"
77437,"17,054"
73129,"20,126"
10175,
54913,"17,629"
78628,"23,727"
74114,"15,778"
78669,"8,731"
44256,"62,039"
78612,"11,457"
78640,"42,954"
28786,"20,714"
68701,"30,670"
78654,"17,553"
74137,"25,737"
67213,"21,368"
76210,"39,556"
72712,"40,933"
67301,"13,556"
89147,"49,778"
75235,"17,177"
37207,"34,880"
78665,"35,985"
76132,"24,709"
33331,"23,204"
74072,"1,816"
73625,554
74133,"43,414"
32792,"46,914"
78501,"61,219"
7601,"43,010"
89045,"1,505"
77840,"56,171"
30354,"14,857"
92220,"31,638"
56082,"13,597"
76021,"33,673"
78710,
78209,"39,197"
75007,"51,624"
30607,"10,895"
78772,
19085,"8,932"
78681,"50,606"
78041,"44,153"
74055,"38,680"
78620,"14,367"
